"pclass" "survived" "sex" "embarked"
"296" 1 1 1 1
"297" 1 1 0 1
"298" 1 0 0 1
"299" 1 0 0 0
"300" 1 0 0 0
"301" 1 1 1 1
"302" 1 0 0 1
"303" 1 1 1 1
"304" 1 0 0 0
"305" 1 0 0 0
"306" 1 0 0 0
"307" 1 1 1 1
"308" 1 1 1 0
"309" 1 0 0 0
"310" 1 1 1 0
"311" 1 0 0 1
"312" 1 0 0 1
"313" 1 1 1 1
"314" 1 1 1 0
"315" 1 0 0 1
"316" 1 1 0 1
"317" 1 0 0 0
"318" 1 1 1 1
"319" 1 1 0 0
"320" 1 0 0 0
"321" 1 1 1 1
"322" 0 0 0 1
"323" 0 1 1 1
"324" 0 0 0 0
"325" 0 0 0 0
"326" 0 0 0 0
"327" 0 0 0 0
"328" 0 1 1 0
"329" 0 0 0 0
"330" 0 0 0 0
"331" 0 0 0 0
"332" 0 1 1 0
"333" 0 0 0 0
"334" 0 0 0 0
"335" 0 1 0 0
"336" 0 1 1 0
"337" 0 0 0 0
"338" 0 1 0 0
"339" 0 1 1 0
"340" 0 1 1 0
"341" 0 1 1 0
"342" 0 1 0 0
"343" 0 1 1 0
"344" 0 0 0 0
"345" 0 0 0 0
"346" 0 0 0 0
"347" 0 0 0 0
"348" 0 1 1 0
"349" 0 1 1 0
"350" 0 0 0 0
"351" 0 1 1 0
"352" 0 1 1 0
"353" 0 0 0 0
"354" 0 1 1 0
"355" 0 0 0 0
"356" 0 0 0 0
"357" 0 1 1 0
"358" 0 1 0 0
"359" 0 1 0 0
"360" 0 1 1 0
"361" 0 1 1 0
"362" 0 0 0 0
"363" 0 0 0 0
"364" 0 0 1 0
"365" 0 0 0 0
"366" 0 0 0 0
"367" 0 0 0 0
"368" 0 0 1 0
"369" 0 1 1 0
"370" 0 1 1 0
"371" 0 0 0 0
"372" 0 1 1 0
"373" 0 0 0 0
"374" 0 0 0 0
"375" 0 1 0 0
"376" 0 1 1 0
"377" 0 0 0 0
"378" 0 1 1 0
"379" 0 1 1 0
"380" 0 0 1 0
"381" 0 0 1 0
"382" 0 0 0 0
"383" 0 0 0 0
"384" 0 1 0 0
"385" 0 0 0 0
"386" 0 1 1 0
"387" 0 1 1 0
"388" 0 0 0 0
"389" 0 0 0 0
"390" 0 0 0 1
"391" 0 1 1 1
"392" 0 0 0 0
"393" 0 0 0 0
"394" 0 1 1 0
"395" 0 1 1 0
"396" 0 0 0 0
"397" 0 1 0 0
"398" 0 0 0 0
"399" 0 1 1 0
"400" 0 1 1 1
"401" 0 1 1 1
"402" 0 0 0 0
"403" 0 0 0 0
"404" 0 0 0 0
"405" 0 0 0 0
"406" 0 1 1 0
"407" 0 0 0 0
"408" 0 0 0 0
"409" 0 0 0 0
"410" 0 0 1 0
"411" 0 0 0 0
"412" 0 0 0 0
"413" 0 0 0 0
"414" 0 1 1 0
"415" 0 0 0 0
"416" 0 0 0 0
"417" 0 0 0 0
"418" 0 0 0 0
"419" 0 0 0 0
"420" 0 0 0 0
"421" 0 0 0 0
"422" 0 0 0 0
"423" 0 0 0 0
"424" 0 0 0 0
"425" 0 0 0 0
"426" 0 1 0 0
"427" 0 1 1 0
"428" 0 0 0 0
"429" 0 1 1 0
"430" 0 0 0 0
"431" 0 1 0 0
"432" 0 0 0 0
"433" 0 1 1 0
"434" 0 0 0 0
"435" 0 1 1 0
"436" 0 1 1 0
"437" 0 1 1 0
"438" 0 0 0 0
"439" 0 1 1 0
"440" 0 1 1 0
"441" 0 0 0 0
"442" 0 0 0 0
"443" 0 0 0 0
"444" 0 0 1 0
"445" 0 1 1 0
"446" 0 0 0 0
"447" 0 0 0 0
"448" 0 1 1 0
"449" 0 0 0 0
"450" 0 0 0 0
"451" 0 1 1 0
"452" 0 0 0 0
"453" 0 1 0 0
"454" 0 0 0 0
"455" 0 0 1 0
"456" 0 0 0 0
"457" 0 1 1 0
"458" 0 0 0 0
"459" 0 1 1 0
"460" 0 0 0 0
"461" 0 0 0 0
"462" 0 0 0 0
"463" 0 0 0 0
"464" 0 1 1 1
"465" 0 0 0 0
"466" 0 1 1 0
"467" 0 0 1 0
"468" 0 1 1 1
"469" 0 0 0 1
"470" 0 1 1 0
"471" 0 0 0 1
"472" 0 0 0 0
"473" 0 0 0 0
"474" 0 0 1 0
"475" 0 0 0 0
"476" 0 0 0 1
"477" 0 1 1 1
"478" 0 1 1 1
"479" 0 0 0 1
"480" 0 1 1 1
"481" 0 1 1 1
"482" 0 1 1 0
"483" 0 1 1 0
"484" 0 0 0 1
"485" 0 0 0 0
"486" 0 0 0 1
"487" 0 0 0 0
"488" 0 1 1 0
"489" 0 0 1 0
"490" 0 0 0 1
"491" 0 1 0 1
"492" 0 0 0 1
"493" 0 1 1 1
"494" 0 0 0 1
"495" 0 0 0 0
"496" 0 0 0 0
"497" 0 0 0 0
"498" 0 0 0 0
"499" 0 0 0 0
"500" 0 1 1 0
"501" 0 1 1 0
"502" 0 1 0 0
"503" 0 0 0 0
"504" 0 0 0 0
"505" 0 0 0 0
"506" 0 0 0 0
"507" 0 0 0 0
"508" 0 0 0 0
"509" 0 0 0 0
"510" 0 0 0 1
"511" 0 0 0 1
"512" 0 1 1 1
"513" 0 1 0 0
"514" 0 1 0 0
"515" 0 0 0 0
"516" 0 0 0 0
"517" 0 0 0 0
"518" 0 0 0 0
"519" 0 1 0 1
"520" 0 1 1 0
"521" 0 0 0 0
"522" 0 1 0 0
"523" 0 1 0 1
"524" 0 0 0 0
"525" 0 1 0 1
"526" 0 0 0 0
"527" 0 0 0 0
"528" 0 1 1 0
"529" 0 0 0 0
"530" 0 0 0 1
"531" 0 0 0 0
"532" 0 1 1 0
"533" 0 1 1 0
"534" 0 0 0 0
"535" 0 1 1 0
"536" 0 0 0 0
"537" 0 1 0 1
"538" 0 0 0 1
"539" 0 1 1 0
"540" 0 1 1 0
"541" 0 1 1 0
"542" 0 0 0 0
"543" 0 0 0 0
"544" 0 1 1 0
"545" 0 1 1 0
"546" 0 0 0 1
"547" 0 1 0 0
"548" 0 1 0 0
"549" 0 1 1 0
"550" 0 1 1 0
"551" 0 0 0 0
"552" 0 1 1 0
"553" 0 0 0 0
"554" 0 0 0 0
"555" 0 0 0 0
"556" 0 1 1 0
"557" 0 1 1 0
"558" 0 1 1 0
"559" 0 1 1 0
"560" 0 0 0 0
"561" 0 1 1 1
"562" 0 0 0 0
"563" 0 1 1 0
"564" 0 0 0 0
"565" 0 0 0 1
"566" 0 0 0 0
"567" 0 0 0 0
"568" 0 0 0 0
"569" 0 1 1 0
"570" 0 0 0 0
"571" 0 1 1 0
"572" 0 1 1 0
"573" 0 0 0 0
"574" 0 0 1 0
"575" 0 0 0 0
"576" 0 1 1 0
"577" 0 0 0 0
"578" 0 0 0 0
"579" 0 1 1 0
"580" 0 0 0 0
"581" 0 1 1 0
"582" 0 1 1 0
"583" 0 1 1 0
"584" 0 0 0 0
"585" 0 1 1 0
"586" 0 1 0 0
"587" 0 1 1 0
"588" 0 1 1 0
"589" 0 1 1 0
"590" 0 1 1 0
"591" 0 0 0 0
"592" 0 1 1 0
"593" 0 0 0 0
"594" 0 0 0 0
"595" 0 1 0 0
"596" 0 1 0 0
"597" 0 1 1 0
"598" 0 0 1 0
"599" 0 0 0 0
"600" 0 0 0 0
"601" 0 0 0 0
"602" 0 1 1 0
"603" 0 1 1 0
"604" 0 1 0 0
"605" 0 1 0 0
"606" 0 1 1 1
"607" 0 0 0 0
"608" 0 0 0 0
"609" 0 0 1 0
"610" 0 1 0 0
"611" 0 1 1 0
"612" 0 1 0 1
"613" 0 0 0 0
"614" 0 0 0 0
"615" 0 0 0 0
"616" 0 0 0 0
"617" 0 0 0 0
"618" 0 0 0 0
"619" 0 0 0 0
"620" 0 1 1 0
"621" 0 0 0 0
"622" 0 0 1 0
"623" 0 0 1 0
"624" 0 1 1 0
"625" 0 0 1 0
"626" 0 0 1 0
"627" 0 0 1 0
"628" 0 0 0 0
"629" 0 1 0 0
"630" 0 0 0 0
"631" 0 0 1 0
"632" 0 0 0 0
"633" 0 0 0 0
"634" 0 0 0 0
"635" 0 0 1 0
"636" 0 0 0 0
"637" 0 0 0 0
"638" 0 0 0 0
"639" 0 0 0 0
"640" 0 1 0 0
"641" 0 0 0 0
"642" 0 1 1 0
"643" 0 0 0 0
"644" 0 1 0 0
"645" 0 1 1 0
"646" 0 1 1 1
"647" 0 0 0 1
"648" 0 0 0 0
"649" 0 0 1 1
"650" 0 0 0 1
"651" 0 0 0 0
"652" 0 1 1 1
"653" 0 0 0 1
"654" 0 0 0 0
"655" 0 1 1 0
"656" 0 1 1 1
"657" 0 1 1 1
"658" 0 1 1 1
"659" 0 1 1 1
"660" 0 1 1 0
"661" 0 0 0 1
"662" 0 0 0 0
"663" 0 1 0 1
"664" 0 0 1 1
"665" 0 0 1 1
"666" 0 0 1 1
"667" 0 0 0 0
"668" 0 0 0 0
"669" 0 0 0 0
"670" 0 0 0 0
"671" 0 0 0 1
"672" 0 0 0 1
"673" 0 1 0 0
"674" 0 0 0 0
"675" 0 0 0 0
"676" 0 0 0 0
"677" 0 0 0 1
"678" 0 0 1 1
"679" 0 0 0 1
"680" 0 0 1 1
"681" 0 0 1 1
"682" 0 0 0 1
"683" 0 0 1 1
"684" 0 0 0 0
"685" 0 1 1 1
"686" 0 0 1 0
"687" 0 0 0 0
"688" 0 0 0 0
"689" 0 0 0 0
"690" 0 0 0 0
"691" 0 0 1 1
"692" 0 1 0 1
"693" 0 0 0 1
"694" 0 0 1 1
"695" 0 0 1 0
"696" 0 0 1 0
"697" 0 0 0 0
"698" 0 0 0 0
"699" 0 0 0 0
"700" 0 0 0 0
"701" 0 0 1 1
"702" 0 0 0 1
"703" 0 0 0 0
"704" 0 0 0 1
"705" 0 0 1 1
"706" 0 0 0 0
"707" 0 0 0 0
"708" 0 1 1 1
"709" 0 0 1 1
"710" 0 0 0 0
"711" 0 0 0 0
"712" 0 0 0 1
"713" 0 1 0 0
"714" 0 0 0 0
"715" 0 0 0 1
"716" 0 0 0 1
"717" 0 0 0 0
"718" 0 1 0 0
"719" 0 0 0 1
"720" 0 0 0 0
"721" 0 0 0 0
"722" 0 0 0 1
"723" 0 0 0 1
"724" 0 1 1 1
"725" 0 0 1 1
"726" 0 0 0 1
"727" 0 0 0 0
"728" 0 0 0 0
"729" 0 0 0 0
"730" 0 0 0 0
"731" 0 0 0 0
"732" 0 1 0 0
"733" 0 1 0 0
"734" 0 1 1 0
"735" 0 0 0 0
"736" 0 0 0 0
"737" 0 1 1 0
"738" 0 0 0 0
"739" 0 0 0 0
"740" 0 0 0 1
"741" 0 1 0 0
"742" 0 0 1 0
"743" 0 0 0 0
"744" 0 1 1 1
"745" 0 1 0 1
"746" 0 0 0 0
"747" 0 0 0 0
"748" 0 0 1 0
"749" 0 0 0 0
"750" 0 0 0 0
"751" 0 0 0 0
"752" 0 0 0 0
"753" 0 0 0 0
"754" 0 0 0 0
"755" 0 0 0 0
"756" 0 1 1 0
"757" 0 1 0 0
"758" 0 1 1 0
"759" 0 1 0 0
"760" 0 0 0 0
"761" 0 1 0 0
"762" 0 1 1 0
"763" 0 0 0 0
"764" 0 1 1 0
"765" 0 0 0 0
"766" 0 0 0 0
"767" 0 0 0 0
"768" 0 0 0 0
"769" 0 0 0 0
"770" 0 1 1 1
"771" 0 0 0 0
"772" 0 0 0 0
"773" 0 0 0 0
"774" 0 0 0 1
"775" 0 0 0 1
"776" 0 1 0 0
"777" 0 1 1 0
"778" 0 0 1 1
"779" 0 1 1 0
"780" 0 0 0 1
"781" 0 0 0 1
"782" 0 1 0 0
"783" 0 0 0 0
"784" 0 1 1 0
"785" 0 0 0 0
"786" 0 0 0 0
"787" 0 0 0 0
"788" 0 0 0 1
"789" 0 0 0 1
"790" 0 0 0 1
"791" 0 0 0 1
"792" 0 0 0 0
"793" 0 1 1 0
"794" 0 0 0 1
"795" 0 0 0 0
"796" 0 0 0 1
"797" 0 1 0 0
"798" 0 0 0 0
"799" 0 0 1 1
"800" 0 0 0 1
"801" 0 0 0 1
"802" 0 0 0 1
"803" 0 0 0 1
"804" 0 1 0 0
"805" 0 0 1 0
"806" 0 0 1 0
"807" 0 0 0 0
"808" 0 0 0 0
"809" 0 0 0 0
"810" 0 0 1 0
"811" 0 0 0 1
"812" 0 0 0 0
"813" 0 0 0 1
"814" 0 0 0 0
"815" 0 0 0 1
"816" 0 0 0 0
"817" 0 1 1 1
"818" 0 1 1 1
"819" 0 1 0 0
"820" 0 0 0 0
"821" 0 0 0 0
"822" 0 1 1 0
"823" 0 0 0 0
"824" 0 0 0 0
"825" 0 0 0 0
"826" 0 0 0 0
"827" 0 0 1 0
"828" 0 0 1 0
"829" 0 0 0 0
"830" 0 0 0 0
"831" 0 0 1 0
"832" 0 0 0 0
"833" 0 0 0 0
"834" 0 0 0 0
"835" 0 0 0 0
"836" 0 0 0 0
"837" 0 0 0 0
"838" 0 0 0 0
"839" 0 0 1 0
"840" 0 0 1 1
"841" 0 0 0 0
"842" 0 0 0 0
"843" 0 0 0 0
"844" 0 1 1 0
"845" 0 0 0 0
"846" 0 0 0 1
"847" 0 0 0 0
"848" 0 0 0 0
"849" 0 0 0 0
"850" 0 1 1 0
"851" 0 0 1 0
"852" 0 0 0 0
"853" 0 0 0 1
"854" 0 0 0 1
"855" 0 1 1 1
"856" 0 1 0 0
"857" 0 1 0 0
"858" 0 0 1 1
"859" 0 1 1 0
"860" 0 0 1 0
"861" 0 1 1 0
"862" 0 0 0 0
"863" 0 0 1 0
"864" 0 0 1 1
"865" 0 1 1 0
"866" 0 1 1 0
"867" 0 0 0 0
"868" 0 0 0 0
"869" 0 1 1 0
"870" 0 0 0 1
"871" 0 1 1 0
"872" 0 0 0 0
"873" 0 1 0 0
"874" 0 0 0 1
"875" 0 0 0 0
"876" 0 0 1 0
"877" 0 0 1 0
"878" 0 0 0 0
"879" 0 1 0 1
"880" 0 1 0 0
"881" 0 0 0 0
"882" 0 0 0 0
"883" 0 0 0 0
"884" 0 0 0 0
"885" 0 1 1 1
"886" 0 1 0 0
"887" 0 0 0 0
"888" 0 1 0 0
"889" 0 0 0 0
"890" 0 0 0 0
"891" 0 0 0 0
"892" 0 0 0 0
"893" 0 1 0 0
"894" 0 1 1 0
"895" 0 0 0 0
"896" 0 0 0 0
"897" 0 0 0 0
"898" 0 1 1 0
"899" 0 0 0 0
"900" 0 0 1 0
"901" 0 0 0 0
"902" 0 0 1 0
"903" 0 0 0 0
"904" 0 1 0 0
"905" 0 0 0 0
"906" 0 0 1 0
"907" 0 0 1 0
"908" 0 1 0 0
"909" 0 0 0 0
"910" 0 0 0 0
"911" 0 0 0 0
"912" 0 1 0 0
"913" 0 0 0 0
"914" 0 0 0 0
"915" 0 1 1 1
"916" 0 1 0 1
"917" 0 0 0 1
"918" 0 0 0 1
"919" 0 0 0 1
"920" 0 0 0 0
"921" 0 1 1 1
"922" 0 1 1 1
"923" 0 0 0 1
"924" 0 0 0 0
"925" 0 1 0 1
"926" 0 0 0 1
"927" 0 0 1 1
"928" 0 0 0 1
"929" 0 0 0 1
"930" 0 0 0 1
"931" 0 0 1 0
"932" 0 0 0 0
"933" 0 1 1 0
"934" 0 1 0 0
"935" 0 1 1 0
"936" 0 0 1 0
"937" 0 0 0 0
"938" 0 0 1 0
"939" 0 0 0 1
"940" 0 1 0 1
"941" 0 0 0 1
"942" 0 0 1 0
"943" 0 0 0 0
"944" 0 1 0 0
"945" 0 0 0 0
"946" 0 1 1 0
"947" 0 0 0 1
"948" 0 1 0 0
"949" 0 0 0 0
"950" 0 0 0 0
"951" 0 0 0 0
"952" 0 1 0 1
"953" 0 0 0 0
"954" 0 0 1 0
"955" 0 0 1 0
"956" 0 0 1 0
"957" 0 0 1 0
"958" 0 0 0 0
"959" 0 0 0 1
"960" 0 0 1 1
"961" 0 0 0 1
"962" 0 0 0 0
"963" 0 0 0 0
"964" 0 0 0 0
"965" 0 0 1 0
"966" 0 0 1 0
"967" 0 0 0 0
"968" 0 0 1 0
"969" 0 1 0 0
"970" 0 0 0 1
"971" 0 0 0 0
"972" 0 0 0 0
"973" 0 0 0 0
"974" 0 0 1 0
"975" 0 0 0 0
"976" 0 0 0 0
"977" 0 1 0 0
"978" 0 0 0 0
"979" 0 1 1 0
"980" 0 1 0 0
"981" 0 0 0 0
"982" 0 0 0 0
"983" 0 1 1 1
"984" 0 1 0 0
"985" 0 0 0 0
"986" 0 0 1 1
"987" 0 0 0 1
"988" 0 0 0 0
"989" 0 0 0 0
"990" 0 1 0 1
"991" 0 0 1 1
"992" 0 1 1 1
"993" 0 0 0 1
"994" 0 0 0 1
"995" 0 0 0 0
"996" 0 1 1 1
"997" 0 0 0 1
"998" 0 1 1 1
"999" 0 1 0 1
"1000" 0 1 1 1
"1001" 0 1 1 1
"1002" 0 1 0 1
"1003" 0 1 1 1
"1004" 0 0 0 1
"1005" 0 1 1 1
"1006" 0 1 1 1
"1007" 0 0 1 1
"1008" 0 0 0 1
"1009" 0 0 0 0
"1010" 0 0 1 0
"1011" 0 0 1 1
"1012" 0 0 1 0
"1013" 0 0 1 0
"1014" 0 0 0 0
"1015" 0 0 0 1
"1016" 0 1 0 0
"1017" 0 0 0 0
"1018" 0 0 0 0
"1019" 0 0 0 0
"1020" 0 0 0 0
"1021" 0 0 0 0
"1022" 0 1 1 1
"1023" 0 0 0 0
"1024" 0 1 0 0
"1025" 0 1 1 0
"1026" 0 0 0 0
"1027" 0 1 1 1
"1028" 0 0 0 1
"1029" 0 0 0 1
"1030" 0 0 0 0
"1031" 0 0 0 1
"1032" 0 1 0 0
"1033" 0 1 0 1
"1034" 0 1 0 1
"1035" 0 1 1 1
"1036" 0 1 1 1
"1037" 0 0 0 0
"1038" 0 1 1 1
"1039" 0 1 1 1
"1040" 0 0 0 0
"1041" 0 1 1 1
"1042" 0 1 1 1
"1043" 0 1 1 1
"1044" 0 0 0 0
"1045" 0 0 0 0
"1046" 0 1 1 1
"1047" 0 1 1 1
"1048" 0 1 0 1
"1049" 0 1 1 1
"1050" 0 0 0 0
"1051" 0 0 0 0
"1052" 0 0 0 1
"1053" 0 0 1 1
"1054" 0 0 0 0
"1055" 0 1 0 1
"1056" 0 1 1 1
"1057" 0 0 1 0
"1058" 0 0 0 0
"1059" 0 1 1 0
"1060" 0 1 1 0
"1061" 0 0 0 0
"1062" 0 0 0 0
"1063" 0 1 0 0
"1064" 0 0 0 0
"1065" 0 0 0 1
"1066" 0 1 1 0
"1067" 0 0 0 0
"1068" 0 0 0 1
"1069" 0 0 0 1
"1070" 0 1 1 1
"1071" 0 0 0 1
"1072" 0 0 0 1
"1073" 0 0 0 1
"1074" 0 0 0 0
"1075" 0 0 1 1
"1076" 0 1 1 1
"1077" 0 1 1 1
"1078" 0 1 1 0
"1079" 0 1 0 1
"1080" 0 1 1 1
"1081" 0 1 0 0
"1082" 0 0 0 0
"1083" 0 0 0 0
"1084" 0 0 0 0
"1085" 0 0 1 0
"1086" 0 0 0 0
"1087" 0 1 0 0
"1088" 0 0 0 0
"1089" 0 0 1 0
"1090" 0 0 1 0
"1091" 0 0 0 0
"1092" 0 0 0 0
"1093" 0 1 1 0
"1094" 0 0 1 1
"1095" 0 0 0 0
"1096" 0 0 0 0
"1097" 0 0 1 0
"1098" 0 0 1 0
"1099" 0 0 1 0
"1100" 0 0 0 0
"1101" 0 0 0 0
"1102" 0 0 0 0
"1103" 0 0 0 0
"1104" 0 0 0 0
"1105" 0 0 1 0
"1106" 0 0 0 0
"1107" 0 0 0 0
"1108" 0 0 0 1
"1109" 0 0 0 0
"1110" 0 0 0 0
"1111" 0 0 1 0
"1112" 0 0 1 0
"1113" 0 0 0 0
"1114" 0 0 0 0
"1115" 0 0 0 0
"1116" 0 0 0 0
"1117" 0 0 0 0
"1118" 0 0 0 0
"1119" 0 1 0 0
"1120" 0 1 0 1
"1121" 0 1 1 1
"1122" 0 1 1 1
"1123" 0 0 1 1
"1124" 0 0 0 0
"1125" 0 0 1 0
"1126" 0 0 0 0
"1127" 0 0 0 0
"1128" 0 0 0 0
"1129" 0 0 1 0
"1130" 0 1 0 0
"1131" 0 0 0 0
"1132" 0 0 0 0
"1133" 0 0 0 0
"1134" 0 0 0 0
"1135" 0 0 1 0
"1136" 0 0 0 1
"1137" 0 0 0 0
"1138" 0 0 0 0
"1139" 0 0 0 0
"1140" 0 0 0 1
"1141" 0 0 0 1
"1142" 0 0 0 1
"1143" 0 0 0 1
"1144" 0 0 0 1
"1145" 0 0 1 1
"1146" 0 0 1 0
"1147" 0 0 0 0
"1148" 0 1 1 1
"1149" 0 0 0 0
"1150" 0 0 1 0
